type,topic,num_reviews,top_words,positive_count,positive_pct,negative_count,negative_pct,star_5,star_1,example_num,rating,sentiment,review_text
EXAMPLE,7,,,,,,,,,2,2,POSITIVE,"I started to like this place at first but it didn’t take long for the lack of customer service to shine through. This place doesn’t appreciate the regular/local customer. Their target customers are tourists. The one time customer who spends $100 a night or the tourist groups that spend a few hundred a night... not the local who spends $20 a night for months on end...

Cater only to the tourism market and get one time business or take care of the locals and keep repeat customers coming back? Somehow they can’t do both.

This place is good for a one time experience if you catch the staff on a good night and have never been there before.

If you go back multiple times they get comfortable and start treating you like dirt.

This isn’t that lil hole in the wall that locals find and gravitate towards, fact is; Rico kinda just came out of nowhere in Fairbanks and doesn’t seem to respect the local culture. Rico is better than his surroundings and he’s not afraid to let you know. Rico is better than most people and he’s not afraid to tell you.

The music is okay, if you listen to it once. They play the exact same sets every night with little to no variation at all. I think the last straw for me and this place was Rico’s narcissistic attitude towards the local scene and how he is so much better than everyone else with “his” music.

It’s all smoke and mirrors. Don’t look behind the curtain because apparently keeping a clean kitchen is one of the last things Rico likes to do.

It’s been kind of funny watching Rico run around like a “boss” but when the 6 tables he has fills up and people are actually ordering food, he can’t handle the rush!

Rico, stop trying to poach cooks from your competitors!

If you’re looking for a Latin Jazz Bistro this place will try its best to play other people’s songs and accept your tip money for it... if you’re looking for a Jazz Bistro this place will disappoint you.

If you like supporting companies who use musicians and other artists works as their cover songs and aren’t fully registered and licensed this is the place to be!

Playing unlicensed cover songs is stealing from the original artist, so every night when you play Carlos Santana’s music you are stealing from him!!

Register your venue and pay your license fees!

Treating locals like dirt is a sure fire way to slowly kill your business and reputation.

Any food business that uses %50 of their floor space for the owners to sing and dance while people are trying to order food and drinks has their priorities in the blender."
EXAMPLE,7,,,,,,,,,3,5,POSITIVE,Hidden gem in Fairbanks!
EXAMPLE,7,,,,,,,,,4,5,NEGATIVE,"My favorite restaurant in Fairbanks, but I am not going to write anything."
EXAMPLE,7,,,,,,,,,5,3,NEGATIVE,One of the better restaurants in Fairbanks. Fair prices quick service. Only 3 stars for menu selection and it does not taste as good as Mexican restaurant in the lower 48.
TOPIC,8,1882,"thai, pad, curry, tea, noodles, authentic, spicy, best",1693,90.0,189,10.0,1408,74,,,,
EXAMPLE,8,,,,,,,,,1,1,NEGATIVE,"There's a reason they named their place Alaska Taste of Thai. Portions are really small for the price. Ordered yellow curry and added chicken for $2.00 for a total of $15. Received half a cup of rice, three bite size pieces of chicken, and half of a small potato that was cut in half. Picture shows what was left after having a couple of bites in a standard to-go container. If you want more than a snack for 15 dollars, go somewhere else."
EXAMPLE,8,,,,,,,,,2,1,NEGATIVE,"I Tried this place 3 different times about a year ago! Never went back there since. Water down stir fry, the spicy fried chicken is mostly batter barely any chicken and after three bites of pad Thai I threw it away!"
EXAMPLE,8,,,,,,,,,3,5,NEGATIVE,Great yellow and green curry. Fried spring rolls are a bonus. I go elsewhere for things like pad thai
EXAMPLE,8,,,,,,,,,4,5,POSITIVE,I've been eating at Thai Village since 1998. It's one of my all time favorites!
EXAMPLE,8,,,,,,,,,5,3,POSITIVE,"Good food, I had the pad Thai and that was really good.  Only downside is it took a while for the waitress to get to us and get our food."
TOPIC,9,1878,"fresh, fast, delicious, food, variety, tasty, hot, foods",1801,95.9,77,4.1,1251,13,,,,
EXAMPLE,9,,,,,,,,,1,1,NEGATIVE,I don't dig on fast food that much.
EXAMPLE,9,,,,,,,,,2,2,POSITIVE,"All you can eat, lots of food. American style, over the top."
EXAMPLE,9,,,,,,,,,3,4,POSITIVE,The food is always good.
EXAMPLE,9,,,,,,,,,4,4,POSITIVE,The food is delicious!
EXAMPLE,9,,,,,,,,,5,3,POSITIVE,Good quick food
TOPIC,10,1868,"service, fast, slow, clean, friendly, customer, quick, poor",1450,77.6,418,22.4,972,157,,,,
EXAMPLE,10,,,,,,,,,1,1,NEGATIVE,Service was so bad and bad is not even the word
EXAMPLE,10,,,,,,,,,2,1,NEGATIVE,Slow service.
EXAMPLE,10,,,,,,,,,3,4,POSITIVE,Usually good service
EXAMPLE,10,,,,,,,,,4,5,POSITIVE,Great fast service. Loved it!
EXAMPLE,10,,,,,,,,,5,3,POSITIVE,Okay not bad at all grat services
TOPIC,11,1868,"steak, rare, pork, medium, cooked, ribeye, pulled, fried",1408,75.4,460,24.6,1027,146,,,,
EXAMPLE,11,,,,,,,,,1,2,NEGATIVE,"Service was great. Steak was tough, onion rings overcooked."
EXAMPLE,11,,,,,,,,,2,2,POSITIVE,"I won't go back. It was a nice looking place, both exterior and interior, but the food was way overpriced and not cooked to order.  I ordered steak and eggs - which is a pretty easy order - for $18. My 6 ounce steak was ordered medium rare and came out beyond well done. - not even a hint of pink, let alone red.  My eggs were ordered over easy, but when the food came out, the yokes were solid, like hard boiled eggs.

The waitress was cool and nice, but that doesn't make up for the lousy food.  At the prices listed, the food should have tasted amazing and cooked perfectly."
EXAMPLE,11,,,,,,,,,3,4,POSITIVE,"I ordered a Philly and the meat was clearly no good, and the staff were more than understanding and immediately took action. They were replaced it with the quickness with a patty melt. Overall, great restaurant."
EXAMPLE,11,,,,,,,,,4,5,POSITIVE,"Food was super delicious!!  This is my favorite restaurant for steaks.  Only downside was 30-35 minute wait to sit down, but our server more than made up for that with his amazing service!!"
EXAMPLE,11,,,,,,,,,5,3,POSITIVE,"Unfortunately food was not cooked timely. My husband got his first. I ordered a country fried stake and the batter was too salty. Ordered then a regular steak medium rare and again it took a while and it was all done. Server and manager were very nice about it and took good care as much as they could. Unfortunately at this time I can not rate more stars because of my last visit but all other times have been very good. By the way, I love their fresh bread and chilli."
TOPIC,12,1854,"hotel, room, rooms, stay, bed, desk, comfortable, clean",1266,68.3,588,31.7,759,223,,,,
EXAMPLE,12,,,,,,,,,1,2,NEGATIVE,Friendly staff but for about $160 a night I got a blood stained comforter with holes in it. Phone didn't work in room. Very slow wifi. Other than that the room was cozy and quiet.
EXAMPLE,12,,,,,,,,,2,1,NEGATIVE,They do not serve visitors well.  They do not clean the rooms or change the bedding.  They do not have clean towels or toilet paper if you ask for it.
EXAMPLE,12,,,,,,,,,3,5,POSITIVE,Great views and the hotel staff are the best
EXAMPLE,12,,,,,,,,,4,5,POSITIVE,Lovely hotel. There is Adam at the reception..... he is an amazing guy who goes out of his way to take care of every little thing you need. He is highly customer centric and I would highly recommend this hotel. One additional pointer .... this hotel has a lot of history and it carries you back into time. Go stay.
EXAMPLE,12,,,,,,,,,5,3,POSITIVE,Older hotel...beds need to be updated. Decent views of harbor. Staff friendly
TOPIC,13,1827,"anchorage, restaurants, favorite, restaurant, downtown, best, places, place",1664,91.1,163,8.9,1432,46,,,,
EXAMPLE,13,,,,,,,,,1,1,NEGATIVE,"Used to be my favorite restuarant in anchorage, went back yesterday after a few months and they were still as pricey as ever but their portions were cut by AT LEAST 50%, I was so disappointed. I never minded their high prices due to large portions, but now it is just overpriced and the chicken fried rice I got tasted awful (which was also unusual). We also felt hustled by the waitress and they weren't even busy, I will not be returning to say the least."
EXAMPLE,13,,,,,,,,,2,1,POSITIVE,Today we stopped into SimEon and Seaforts   for a glass of wine and an appetizer... our server was great and wine was excellent....But when did they let pit bull dogs or any dog for that matter come in...  As long as the sit under the table it’s ok!  ! Was at one time the classiest place in Anchorage... now  I don't know just really disappointed in the atmosphere... I LOVE dogs but not the place for them!
EXAMPLE,13,,,,,,,,,3,4,POSITIVE,"The best value in Anchorage, good solid food and outstanding service!!!"
EXAMPLE,13,,,,,,,,,4,5,POSITIVE,"Lovely experience! Food was bomb and service excellent.  We enjoyed the sticky buns, deadliest Cath and Vegas baby omelette. I highly recommend the raspberry butter too. A must for any Anchorage tourists!"
EXAMPLE,13,,,,,,,,,5,3,NEGATIVE,The Waiters take a long time to recognize your there. ( seat yourself) the location is quite run down and in a bad part of anchorage. Its also part of another restaurant so the bar keep is also the waiter for both sides. The food is in small portions and they seemed very suprrized that we were even there. They also gave us the menu for the other restaurant. ( there connected) the food was good but staked on a small plate so messy kids might be eating off the table (ground) due to small room to eat. Over all a place i would not eat again try naruto its good food.
TOPIC,14,1781,"coffee, starbucks, cafe, cup, shop, latte, espresso, breakfast",1467,82.4,314,17.6,1113,100,,,,
EXAMPLE,14,,,,,,,,,1,2,NEGATIVE,I had an iced coffee and I have had stomach issues for the last two days....
EXAMPLE,14,,,,,,,,,2,1,NEGATIVE,Never been here before and asked the cashier how much people usually pay for a full cup and she completely misrepresented the actual price per ounce. Set rates would be appreciated as well as smaller cup sizes.
EXAMPLE,14,,,,,,,,,3,4,NEGATIVE,"Amazing, warm community vibes especially in the winter. Good food and good drinks.

Whoever designed their sticker advertisement for the ADN should be let go. The business name is barely visible and there's no other information about who they are except if you by chance recognize their coffee truck. I feel bad for how much they must have spent on that."
EXAMPLE,14,,,,,,,,,4,5,POSITIVE,"Starbucks, the usual fare"
EXAMPLE,14,,,,,,,,,5,3,NEGATIVE,Overpriced coffee
TOPIC,15,1711,"alaska, alaskan, best, restaurant, trip, prices, place, food",1562,91.3,149,8.7,1241,44,,,,
EXAMPLE,15,,,,,,,,,1,1,POSITIVE,"Great Alaskan Restaurant and very, good food, Friendly 😊🇺🇸🇺🇸🇺🇸🇺🇸"
EXAMPLE,15,,,,,,,,,2,2,NEGATIVE,"Meh... overrated but I guess it's decent for such a remote place in AK. Food was totally a let down. Tried to like the burrito but it was pretty plain. I suppose tho that when ur in a landlocked fishing community, you shouldn't expect miracle mex."
EXAMPLE,15,,,,,,,,,3,5,POSITIVE,"Interesting decor, there is just about every kind of pelt of every animal in the Alaska wild: wolf, bear, wolverine etc... The service was fast and pleasant. There are crayons and high chairs for kiddos. The pizza was delish. Dessert was awesome."
EXAMPLE,15,,,,,,,,,4,5,POSITIVE,Since I lived in Alaska in 2004 and 2005 this is the one place I have to visit on every trip. The food never disappoints.
EXAMPLE,15,,,,,,,,,5,3,NEGATIVE,Our most expensive meal in Alaska but our least favorite.
TOPIC,16,1709,"mcdonald, mcdonalds, mc, mcd, drive, typical, fast, order",910,53.2,799,46.8,461,267,,,,
EXAMPLE,16,,,,,,,,,1,1,NEGATIVE,"Because this McDonalds is closest to where I live, I go there. However, not one time did this location ever got my order right. 2 Happy meal, one would either not have the chocolate milk or the fries inside. Something isalways missing. You order a happy meal chicken nugget, they would give youtthe meal nugget plus a 10 pc nugget that you get charge for but didn't order. You normally would not check the bag since there is a line in the drive-thru and you would feel guilty holding it up for those hungry people so you would just drive away praying that they get your order right only to discover your order wrong when you get home and feel dissappointed since you are sooo looking forward to eating what you thought you ordered.

You are in customer service business. Please pay attention to what people order and what you put in the bags. People pay for the food they order and it is not right to get something they did not order but ended up paying for."
EXAMPLE,16,,,,,,,,,2,1,NEGATIVE,"This is the absolute WORST McDonald's I have ever experienced.  I stopped through for breakfast, the upcharged for orange juice with a meal. When I asked about it they said meals only include coffee. So apparently children are unwelcome.  They upcharged to swap from bacon to sausage and then delivered a completely wrong sandwich. Instead of a sausage egg and cheese biscuit (that I paid extra for) they delivered a ham egg and cheese mcmuffin.  Because they are the only fast food place on the island, they get away with whatever they want and quality/service is completely disregarded."
EXAMPLE,16,,,,,,,,,3,5,POSITIVE,"Most times I come here its a nice, fast visit and great food service!
Sometimes the soda is gross, but other than that its a great McDonalds."
EXAMPLE,16,,,,,,,,,4,5,POSITIVE,"Good McDonald's,  newly remodeled,  touch screens available,  nice people working, food is always good."
EXAMPLE,16,,,,,,,,,5,3,NEGATIVE,One of the Dirtiest McDonald's I've ever been to. It was McDonald's. The nuggets were stuck together. Someone didn't shake them when they were cooking?
TOPIC,17,1654,"breakfast, breakfasts, lunch, place, morning, spot, day, dinner",1532,92.6,122,7.4,1088,26,,,,
EXAMPLE,17,,,,,,,,,1,2,POSITIVE,"Not very crowded @ 8am...simple breakfast, but eggs were cold (looked like only one egg instead of two ordered) toast served with no butter. It seems like it's hot or cold when I visit this paticular ihop...otherwise staff was very pleasant and friendly"
EXAMPLE,17,,,,,,,,,2,2,NEGATIVE,Only good for breakfast food I suppose.....
EXAMPLE,17,,,,,,,,,3,4,POSITIVE,Good breakfast at a reasonable price. Had a homemade scone that was amazing! The breakfast skillet actually made 2 meals for me.
EXAMPLE,17,,,,,,,,,4,5,POSITIVE,"Great food, great service.  The Firefighters Breakfast was amazing! No wait on a Sunday morning."
EXAMPLE,17,,,,,,,,,5,3,POSITIVE,Fast breakfast - hot food
TOPIC,18,1599,"sandwich, bread, turkey, breads, fresh, love, grilled, blt",1338,83.7,261,16.3,984,51,,,,
EXAMPLE,18,,,,,,,,,1,2,NEGATIVE,"Limited to sourdough bread. VERY busy and VERY slow service even for take out sandwiches. Other options in Gridwood looked much better to me, for example Jack Sprat and Spoonline."
EXAMPLE,18,,,,,,,,,2,2,NEGATIVE,"I love Charley’s sandwiches and I’ve been at 9 different posts so far. The one here though needs better customer interaction. They completely made the wrong sandwich for my wife, and the lady at the register was not personable at all! Very apathetic and not genuine.
26 March, 2019 @ 1330"
EXAMPLE,18,,,,,,,,,3,4,NEGATIVE,There's Goooooooold in them there sandwiches!!!!
EXAMPLE,18,,,,,,,,,4,5,POSITIVE,Like the sandwiches
EXAMPLE,18,,,,,,,,,5,3,POSITIVE,Good sandwich but expensive
TOPIC,19,1585,"service, food, slow, ok, excellent, okay, awesome, amazing",1274,80.4,311,19.6,761,61,,,,
EXAMPLE,19,,,,,,,,,1,2,NEGATIVE,Food did not taste very good. Friendly service though.
EXAMPLE,19,,,,,,,,,2,2,NEGATIVE,"The food was mediocre for Juneau. The service was also very slow, and food didn't come out together but rather staggered and by quiet some time, it took us far too long to get our check so we could leave."
EXAMPLE,19,,,,,,,,,3,4,POSITIVE,"Chicken and vegetables was good, enough for us to share.  Service was good."
EXAMPLE,19,,,,,,,,,4,5,POSITIVE,Fantastic service!  Very friendly and attentive.   And the food was tremendous.
EXAMPLE,19,,,,,,,,,5,3,POSITIVE,Service wasn't the best and the food was ok.
